Date,Data
3/26/2025,2.369
3/25/2025,2.365
3/24/2025,2.367
3/21/2025,2.386
3/20/2025,2.387
3/19/2025,2.411
3/18/2025,2.426
3/17/2025,2.456
3/14/2025,2.478
3/13/2025,2.501
3/12/2025,2.527
3/11/2025,2.553
3/10/2025,2.547
3/7/2025,2.529
3/6/2025,2.511
3/5/2025,2.504
3/4/2025,2.491
3/3/2025,2.464
2/28/2025,2.464
2/27/2025,2.485
2/26/2025,2.499
2/25/2025,2.53
2/24/2025,2.521
2/21/2025,2.521
2/20/2025,2.534
2/19/2025,2.529
2/18/2025,2.516
2/17/2025,2.51
2/14/2025,2.522
2/13/2025,2.556
2/12/2025,2.553
2/11/2025,2.539
2/10/2025,2.526
2/7/2025,2.527
2/6/2025,2.535
2/5/2025,2.529
2/4/2025,2.541
2/3/2025,2.562
1/31/2025,2.589
1/30/2025,2.606
1/29/2025,2.612
1/28/2025,2.615
1/27/2025,2.641
1/24/2025,2.641
1/23/2025,2.673
1/22/2025,2.671
1/21/2025,2.681
1/20/2025,2.677
1/17/2025,2.704
1/16/2025,2.744
1/15/2025,2.748
1/14/2025,2.761
1/13/2025,2.785
1/10/2025,2.766
1/9/2025,2.789
1/8/2025,2.782
1/7/2025,2.785
1/6/2025,2.757
1/3/2025,2.731
1/2/2025,2.736
12/31/2024,2.714
12/30/2024,2.678
12/27/2024,2.683
12/24/2024,2.715
12/23/2024,2.731
12/20/2024,2.772
12/19/2024,2.839
12/18/2024,2.852
12/17/2024,2.865
12/16/2024,2.863
12/13/2024,2.843
12/12/2024,2.886
12/11/2024,2.888
12/10/2024,2.872
12/9/2024,2.862
12/6/2024,2.868
12/5/2024,2.881
12/4/2024,2.877
12/3/2024,2.879
12/2/2024,2.924
11/29/2024,2.934
11/28/2024,2.939
11/27/2024,2.912
11/26/2024,2.898
11/25/2024,2.985
11/22/2024,3.022
11/21/2024,3.005
11/20/2024,3
11/19/2024,3.013
11/18/2024,3.004
11/15/2024,2.998
11/14/2024,3.005
11/13/2024,3.023
11/12/2024,3.034
11/11/2024,3.04
11/8/2024,3.032
11/7/2024,3.032
11/6/2024,3.049
11/5/2024,3.057
11/4/2024,3.075
11/1/2024,3.085
10/31/2024,3.062
10/30/2024,3.056
10/29/2024,3.056
10/28/2024,3.052
10/25/2024,3.059
10/24/2024,3.072
10/23/2024,3.086
10/22/2024,3.098
10/21/2024,3.138
10/18/2024,3.201
10/17/2024,3.219
10/16/2024,3.208
10/15/2024,3.215
10/14/2024,3.205
10/11/2024,3.179
10/10/2024,3.184
10/9/2024,3.223
10/8/2024,3.265
10/7/2024,3.268
10/4/2024,3.25
10/3/2024,3.238
10/2/2024,3.246
10/1/2024,3.252
9/30/2024,3.279
9/27/2024,3.326
9/26/2024,3.345
9/25/2024,3.352
9/24/2024,3.402
9/23/2024,3.431
9/20/2024,3.436
9/19/2024,3.455
9/18/2024,3.458
9/17/2024,3.48
9/16/2024,3.488
9/13/2024,3.472
9/12/2024,3.481
9/11/2024,3.467
9/10/2024,3.46
9/9/2024,3.462
9/6/2024,3.468
9/5/2024,3.47
9/4/2024,3.449
9/3/2024,3.458
9/2/2024,3.469
8/30/2024,3.49
8/29/2024,3.505
8/28/2024,3.505
8/27/2024,3.515
8/26/2024,3.523
8/23/2024,3.525
8/22/2024,3.541
8/21/2024,3.542
8/20/2024,3.538
8/19/2024,3.551
8/16/2024,3.56
8/15/2024,3.549
8/14/2024,3.542
8/13/2024,3.542
8/12/2024,3.548
8/9/2024,3.557
8/8/2024,3.577
8/7/2024,3.569
8/6/2024,3.523
8/5/2024,3.584
8/2/2024,3.623
8/1/2024,3.638
7/31/2024,3.647
7/30/2024,3.631
7/29/2024,3.636
7/26/2024,3.655
7/25/2024,3.686
7/24/2024,3.698
7/23/2024,3.685
7/22/2024,3.705
7/19/2024,3.698
7/18/2024,3.688
7/17/2024,3.678
7/16/2024,3.674
7/15/2024,3.662
7/12/2024,3.664
7/11/2024,3.685
7/10/2024,3.704
7/9/2024,3.708
7/8/2024,3.699
7/5/2024,3.712
7/4/2024,3.708
7/3/2024,3.705
7/2/2024,3.714
7/1/2024,3.709
6/28/2024,3.711
6/27/2024,3.695
6/26/2024,3.722
6/25/2024,3.698
6/24/2024,3.682
6/21/2024,3.686
6/20/2024,3.7
6/19/2024,3.712
6/18/2024,3.717
6/17/2024,3.711
6/14/2024,3.715
6/13/2024,3.719
6/12/2024,3.72
6/11/2024,3.739
6/10/2024,3.743
6/7/2024,3.759
6/6/2024,3.755
6/5/2024,3.752
6/4/2024,3.772
6/3/2024,3.782
5/31/2024,3.785
5/30/2024,3.788
5/29/2024,3.794
5/28/2024,3.785
5/27/2024,3.8
5/24/2024,3.808
5/23/2024,3.801
5/22/2024,3.819
5/21/2024,3.823
5/20/2024,3.822
5/17/2024,3.83
5/16/2024,3.826
5/15/2024,3.816
5/14/2024,3.824
5/13/2024,3.828
5/10/2024,3.818
5/9/2024,3.806
5/8/2024,3.814
5/7/2024,3.788
5/6/2024,3.824
5/3/2024,3.827
5/2/2024,3.853
4/30/2024,3.825
4/29/2024,3.835
4/26/2024,3.865
4/25/2024,3.864
4/24/2024,3.879
4/23/2024,3.882
4/22/2024,3.891
4/19/2024,3.892
4/18/2024,3.897
4/17/2024,3.895
4/16/2024,3.904
4/15/2024,3.888
4/12/2024,3.923
4/11/2024,3.906
4/10/2024,3.912
4/9/2024,3.916
4/8/2024,3.902
4/5/2024,3.885
4/4/2024,3.891
4/3/2024,3.857
4/2/2024,3.883
3/28/2024,3.892
3/27/2024,3.908
3/26/2024,3.902
3/25/2024,3.886
3/22/2024,3.903
3/21/2024,3.926
3/20/2024,3.922
3/19/2024,3.935
3/18/2024,3.928
3/15/2024,3.928
3/14/2024,3.928
3/13/2024,3.94
3/12/2024,3.929
3/11/2024,3.928
3/8/2024,3.94
3/7/2024,3.929
3/6/2024,3.942
3/5/2024,3.926
3/4/2024,3.932
3/1/2024,3.938
2/29/2024,3.937
2/28/2024,3.942
2/27/2024,3.952
2/26/2024,3.952
